"doc_id","path","tier","status","last_updated","classification"
"docs/reports/doc-sync/latest-summary.md","docs/reports/doc-sync/latest-summary.md","","","","keep"
"docs/00-meta/23-core-docs-final-verification-report.md","docs/00-meta/23-core-docs-final-verification-report.md","","","","keep"
"V9-DOC-PROJ-189","docs/reference/网页测试检索校对纳入采集方案分析.md","standard","active","2026-07-17","keep"
"docs/archive/00-meta-historical/p1-06-eslint-warning-tech-debt-report.md","docs/archive/00-meta-historical/p1-06-eslint-warning-tech-debt-report.md","","","","keep"
"docs/archive/诊断与重梳方案报告.md","docs/archive/诊断与重梳方案报告.md","archive","archived","","move-to-pending"
"V9-DOC-PROJ-192","docs/reference/v9-数据血缘追踪.md","standard","active","2026-07-17","keep"
"docs/archive/00-meta-historical/secondary-verification-report-2026-07-15.md","docs/archive/00-meta-historical/secondary-verification-report-2026-07-15.md","","","","keep"
"docs/archive/…-task-list.md","docs/archive/…-task-list.md","archive","archived","","move-to-pending"
"docs/archive/NewsPage-迁移验收确认书.md","docs/archive/newspage-迁移验收确认书.md","archive","archived","","move-to-pending"
"docs/reference/06-routing-specs.md","docs/reference/06-routing-specs.md","","","","keep"
"V9-DOC-PROJ-304","docs/00-meta/文档整理待办清单.md","standard","active","2026-07-17","keep"
"docs/03-development/mcp-cli-skill-strategy.md","docs/03-development/mcp-cli-skill-strategy.md","","","","keep"
"V9-DOC-PROJ-245","docs/explanation/design/双通道投研评分系统技术方案.md","standard","active","2026-07-17","keep"
"docs/archive/00-meta-historical/doc-proofreading-strategy.md","docs/archive/00-meta-historical/doc-proofreading-strategy.md","","","","keep"
"docs/reports/audit/doc-health-report-2026-07-baseline.md","docs/reports/audit/doc-health-report-2026-07-baseline.md","","","","keep"
"V9-DOC-AI-022","docs/reports/audit/mcp-usage/mcp-usage-report-1784331636620.md","standard","active","2026-07-17","keep"
"V9-DOC-PROJ-340","docs/explanation/v9-体系化上线测试-todo-list.md","quick-note","draft","2026-07-17","move-to-pending"
"V9-DOC-QA-087","docs/reports/audit/上线前全面校验报告-v1.0.0.md","standard","active","2026-07-17","keep"
"docs/archive/…-RCA-report.md","docs/archive/…-rca-report.md","archive","archived","","move-to-pending"
"V9-DOC-PROJ-119","docs/reference/数据治理路线图.md","important","active","2026-07-17","add-cross-ref"
"docs/system_design.md","docs/system_design.md","","","","keep"
"V9-DOC-PROJ-306","docs/00-meta/ai-index/.ai-index/readme.md","","","","keep"
"V9-DOC-PROJ-188","docs/reference/changelogs/变更摘要-2026-06-28-phase0-数据层改造.md","standard","active","2026-07-17","keep"
"docs/03-development/mock-data-cleanup-lessons.md","docs/03-development/mock-data-cleanup-lessons.md","","","","keep"
"V9-DOC-QA-083","docs/reports/audit/脚本与测试质量检查报告.md","standard","active","2026-07-17","keep"
"docs/00-meta/stale-links-lost-report.md","docs/00-meta/stale-links-lost-report.md","","","","keep"
"V9-DOC-DATA-052","docs/reference/databridge端点与数据映射清单.md","standard","active","2026-07-17","keep"
"V9-DOC-PROJ-254","docs/explanation/双通道投研评分系统技术方案.md","standard","active","2026-07-17","keep"
"V9-DOC-PROJ-247","docs/explanation/design/回滚方案与演练-r03.md","standard","active","2026-07-17","keep"
"V9-DOC-QA-043","docs/reports/audit/cockpit_整体设计一致性审查.md","standard","active","2026-07-17","keep"
"docs/archive/00-meta-historical/p1-13-code-to-doc-refs-fix-report.md","docs/archive/00-meta-historical/p1-13-code-to-doc-refs-fix-report.md","","","","keep"
"docs/reports/audit/orphans-2026-07-19.md","docs/reports/audit/orphans-2026-07-19.md","","","","keep"
"docs/archive/…-file-wandering-report.md","docs/archive/…-file-wandering-report.md","archive","archived","","move-to-pending"
"V9-DOC-PROJ-244","docs/explanation/design/发布计划与评审-r01.md","standard","active","2026-07-17","keep"
"V9-DOC-PROJ-260","docs/explanation/v9-l2状态层补齐路线图.md","standard","active","2026-07-17","keep"
"docs/archive/…-optimization-prompt.md","docs/archive/…-optimization-prompt.md","archive","archived","","move-to-pending"
"docs/archive/00-meta-historical/p1-01-llm-management-split-report.md","docs/archive/00-meta-historical/p1-01-llm-management-split-report.md","","","","keep"
"docs/archive/改进路线图实施计划.md","docs/archive/改进路线图实施计划.md","archive","archived","","move-to-pending"
"docs/04-testing/stock-analysis-walkthrough-test-plan.md","docs/04-testing/stock-analysis-walkthrough-test-plan.md","","","","keep"
"V9-DOC-PROJ-323","docs/00-meta/月度文档体检检查清单.md","standard","active","2026-07-17","keep"
"V9-DOC-QA-016","docs/reports/audit/v9-架构缺陷与整改行动清单.md","reference","active","2026-06-29","keep"
"V9-DOC-PROJ-295","docs/reports/retrospectives/综合验证与定位分析报告-v2.0.0.md","standard","active","2026-07-17","keep"
"docs/archive/文件去重与整理治理方案.md","docs/archive/文件去重与整理治理方案.md","archive","archived","","move-to-pending"
"docs/archive/00-meta-historical/lessons-architecture-review-2026-07-16.md","docs/archive/00-meta-historical/lessons-architecture-review-2026-07-16.md","","","","keep"
"V9-DOC-PROJ-116","docs/reference/v9核心数据字典与类型定义(整合版).md","important","active","2026-07-17","add-cross-ref"
"docs/archive/00-meta-historical/23个核心文档重新检索报告.md","docs/00-meta/23个核心文档重新检索报告.md","core","archived","","move-to-pending"
"docs/archive/00-meta-historical/文档自动更新体系-架构梳理与任务清单.md","docs/00-meta/文档自动更新体系-架构梳理与任务清单.md","core","archived","","move-to-pending"
"docs/archive/00-meta-historical/p1-03-collection-wizard-store-split-report.md","docs/archive/00-meta-historical/p1-03-collection-wizard-store-split-report.md","","","","keep"
"V9-DOC-PROJ-195","docs/reference/v9-l2状态层补齐路线图.md","standard","active","2026-07-17","keep"
"V9-DOC-DATA-044","docs/reference/tushare-token-setup.md","standard","active","2026-07-17","keep"
"docs/archive/00-meta-historical/月度文档体检检查清单.md","docs/00-meta/月度文档体检检查清单.md","core","archived","","move-to-pending"
"V9-DOC-QA-066","docs/reports/audit/typescript错误处理和类型安全检测报告.md","standard","active","2026-07-17","keep"
"docs/reports/audit/doc-health-report-2026-07.md","docs/reports/audit/doc-health-report-2026-07.md","","","","keep"
