"Domain","Type","Path","Title","Tier","Correct_Type","Correct_Domain","Notes"
"ai","explanation","explanation/design/ui-design-agent-execution-plan.md","ui-design-agent-execution-plan","important","","",""
"ai","explanation","explanation/ui-design-agent-execution-plan.md","ui-design-agent-execution-plan","important","","",""
"ai","how-to","how-to/mcp-acl-guide.md","MCP 权限控制开发指南","standard","","",""
"ai","meta","00-meta/agent-app-docs-classification.md","Agent 应用 · 文档分类索引表","standard","","",""
"ai","meta","00-meta/FILE-MANAGEMENT-GUIDE-optimization-prompt.md","file-management-guide.md 体系优化提示词","standard","","",""
"ai","reference","reference/ai-memory-layer.md","ai-memory-layer","important","","",""
"ai","reference","reference/ai-center-contract.md","ai-center-contract","important","","",""
"ai","reports","reports/audit/mcp-usage/mcp-usage-report-1784135579861.md","TODO-ADD-TITLE","standard","","",""
"ai","reports","reports/retrospectives/mcp-zombie-server-audit-report.md","MCP Server 僵尸模块审计报告","standard","","",""
"architecture","explanation","explanation/design/blueprints/README.md","Blueprints","reference","","",""
"architecture","explanation","explanation/adr-004-hashrouter-static-hosting.md","ADR-004: HashRouter 静态托管方案","important","","",""
"architecture","meta","00-meta/markdown-reorg-framework.md","V9 Markdown 文档体系梳理与重构方案","standard","","",""
"architecture","meta","00-meta/lessons-architecture-review-2026-07-16.md","TODO-ADD-TITLE","standard","","",""
"architecture","reference","reference/03-architecture-standards.md","03-architecture-standards","important","","",""
"architecture","reference","reference/v9-architecture-data-dictionary-validation-report.md","V9 架构 Phase 4 一致性验证报告","standard","","",""
"architecture","reports","reports/retrospectives/mcp-architecture-remediation-plan-2026-07-08.md","MCP 架构整改行动计划","standard","","",""
"architecture","reports","reports/retrospectives/complexity-optimization-plan.md","圈复杂度优化方案","standard","","",""
"backend","explanation","explanation/design/value-bargain-strategy.md","价值洼地策略（value-bargain）","standard","","",""
"backend","explanation","explanation/design/core-scarce-strategy.md","核心稀缺资源策略（core-scarce）","standard","","",""
"backend","how-to","how-to/how-to-add-service.md","如何新增一个 Service（DataBridge + Envelope 路由）","standard","","",""
"backend","reference","guides/how-to-add-service.md","如何新增 Service","standard","","",""
"backend","reference","reference/rotation-score-spec.md","Rotation Score Service 实现规格","important","","",""
"backend","reports","reports/release-management/buildscoredocdiff-rollback-plan.md","buildScoreDocDiff 修复 — 生产部署回滚预案","standard","","",""
"backend","reports","reports/retrospectives/walkthrough-scoredoc-report.md","评分拍照比对功能模块 — 补充穿行测试报告","standard","","",""
"data","explanation","explanation/data-layer-overview.md","data-layer-overview","important","","",""
"data","explanation","explanation/design/dataflow-data-definition.md","dataflow-data-definition","important","","",""
"data","how-to","how-to/how-to-add-store.md","如何新增一个 Store（Zustand + withBroadcast）","standard","","",""
"data","meta","00-meta/deprecated-docs/old-versions/data-definition-v1.0.0-cockpit.md","驾驶舱 Widget 数据定义","standard","","",""
"data","meta","00-meta/deprecated-docs/old-versions/data-dictionary-index-v1.6.0.md","docs/00-meta/deprecated-docs/old-versions/data-dictionary-index-v1.6.0.md","reference","","",""
