"doc_id","title","file_path","file_size_kb","doc_type","domain","phase","last_updated","status","archive_reason"
"V9-DOC-0001","V9 AI 索引缓存（.ai-index）","00-meta/ai-index/.ai-index/README.md","4.1","other","ai","general","2026-07-16","active",""
"V9-DOC-0002","驾驶舱 Widget 数据定义","00-meta/deprecated-docs/old-versions/data-definition-v1.0.0-cockpit.md","5.9","other","data","general","2026-07-16","active",""
"V9-DOC-0003","V9 数据字典索引","00-meta/deprecated-docs/old-versions/data-dictionary-index-v1.6.0.md","13.2","other","data","general","2026-07-16","active",""
"V9-DOC-0004","Deployment Guide — V9 智能投研复盘系统部署基线","00-meta/deprecated-docs/old-versions/deployment-v1.0.0.md","16.9","other","general","deployment","2026-07-16","active",""
"V9-DOC-0005","文档索引","00-meta/deprecated-docs/old-versions/registry-index-v1.0.0-02-design.md","34","other","general","design","2026-07-16","active",""
"V9-DOC-0006","回归测试套件模板","00-meta/deprecated-docs/old-versions/regression-suite-v1.0.0.md","2.4","other","frontend","general","2026-07-16","active",""
"V9-DOC-0007","Agent 应用 · 文档分类索引表","00-meta/agent-app-docs-classification.md","6","other","ai","general","2026-07-16","active",""
"V9-DOC-0008","V9 项目目录结构规范与使用指南","00-meta/directory-structure-guide.md","33.6","other","frontend","development","2026-07-16","active",""
"V9-DOC-0009","V9 文档风格统一标准（doc-style-standard）","00-meta/doc-style-standard.md","8.8","other","general","general","2026-07-16","active",""
"V9-DOC-0010","触发事件 → 更新动作 一一映射权威表","00-meta/doc-trigger-action-map.md","13.3","other","general","general","2026-07-16","active",""
"V9-DOC-0011","V9 文档分类体系规范","00-meta/document-classification-system.md","24.2","other","general","general","2026-07-17","active",""
"V9-DOC-0012","V9 文档风格指南与命名规范","00-meta/document-style-guide.md","13.3","other","frontend","development","2026-07-17","active",""
"V9-DOC-0013","V9 文档治理宪法（GOVERNANCE）","00-meta/GOVERNANCE.md","8.2","other","general","general","2026-07-16","active",""
"V9-DOC-0014","V9 Markdown 文档体系梳理与重构方案","00-meta/markdown-reorg-framework.md","11.9","other","general","general","2026-07-16","active",""
"V9-DOC-0015","P1 架构债务清理 TODO 清单","00-meta/p1-debt-cleanup-todo.md","5","other","general","general","2026-07-17","active",""
"V9-DOC-0016","00-meta — 文档治理与元数据","00-meta/README.md","1.4","other","general","general","2026-07-17","active",""
"V9-DOC-0017","文档索引","00-meta/registry-index.md","62","other","general","general","2026-07-17","active",""
"V9-DOC-0018","文档整理待办清单","00-meta/文档整理待办清单.md","12.2","other","general","general","2026-07-17","active",""
"V9-DOC-0019","V9 智能投研复盘系统 · 竞品分析与差异化定位","01-product/competitive-analysis.md","19.4","other","backend","general","2026-07-16","active",""
"V9-DOC-0020","V9 智能投研复盘系统 · 数据安全与隐私保护白皮书","01-product/data-security-and-privacy.md","16.9","other","data","general","2026-07-16","active",""
"V9-DOC-0021","01-product — 产品战略文档","01-product/README.md","0.8","other","product","general","2026-07-17","active",""
"V9-DOC-0022","V9 智能投研复盘系统 · 用户画像与使用场景","01-product/user-personas-and-scenarios.md","17.4","other","product","requirements","2026-07-16","active",""
"V9-DOC-0023","ADR 入口","01-requirements/adr/README.md","0.5","other","architecture","requirements","2026-07-16","active",""
"V9-DOC-0024","01-requirements — 需求与架构决策","01-requirements/README.md","0.8","other","frontend","requirements","2026-07-17","active",""
"V9-DOC-0025","V9 E2E 测试扩展计划","04-testing/e2e-test-expansion-plan.md","11.3","other","qa","testing","2026-07-16","active",""
"V9-DOC-0026","V9 硬编码与静默回退清理计划","04-testing/hardcode-cleanup-plan.md","8.1","other","qa","testing","2026-07-16","active",""
"V9-DOC-0027","V9 性能测试基线报告","04-testing/performance-baseline.md","9.4","other","qa","testing","2026-07-16","active",""
"V9-DOC-0028","V9 智能投研复盘系统 · 测试前准备清单","04-testing/pre-testing-checklist.md","22.2","other","qa","testing","2026-07-16","active",""
"V9-DOC-0029","V9 安全测试计划与 XSS 专项测试用例","04-testing/security-test-plan.md","16.3","other","qa","testing","2026-07-16","active",""
"V9-DOC-0030","V9 单元测试修复路线图","04-testing/unit-test-repair-roadmap.md","10.3","other","ai","planning","2026-07-16","active",""
"V9-DOC-0031","06-project-management — 项目管理文档","06-project-management/README.md","0.7","other","project","general","2026-07-17","active",""
"V9-DOC-0032","AI 相关文档入口","ai/README.md","0.6","other","ai","general","2026-07-16","active",""
"V9-DOC-0033","Service 集成指南","ai/service-integration-guide.md","0.4","other","frontend","development","2026-07-16","active",""
"V9-DOC-0034","Store 集成指南","ai/store-integration-guide.md","0.4","other","frontend","development","2026-07-16","active",""
"V9-DOC-0035","架构决策记录入口","architecture/adr/README.md","0.5","other","architecture","design","2026-07-16","active",""
"V9-DOC-0036","API 契约","architecture/api-contracts.md","0.4","other","architecture","design","2026-07-16","active",""
"V9-DOC-0037","舱室总览","architecture/cabins-overview.md","0.4","other","architecture","design","2026-07-16","active",""
"V9-DOC-0038","架构总览","architecture/overview.md","0.4","other","architecture","design","2026-07-16","active",""
"V9-DOC-0039","安全模型","architecture/security-model.md","0.4","other","architecture","design","2026-07-16","active",""
"V9-DOC-0040","我用 WorkBuddy 给审计团队搭了 20 个""分身""：一个审计合伙人的 AI 工作流改造实录 #WorkBuddy","assets/articles/01-tutorial-audit-workflow.md","8.8","other","qa","testing","2026-07-16","active",""
"V9-DOC-0041","审计场景下 WorkBuddy 的 5 个真实踩坑与解法 #WorkBuddy","assets/articles/02-experience-five-pitfalls.md","6.1","other","general","general","2026-07-16","active",""
"V9-DOC-0042","发文就绪卡 · 腾讯云开发者社区","assets/articles/publish-ready.md","3.9","other","general","general","2026-07-16","active",""
"V9-DOC-0043","无障碍与国际化","design/a11y-i18n.md","0.3","other","general","design","2026-07-16","active",""
"V9-DOC-0044","design — 设计文档（兼容重定向）","design/README.md","0.8","other","general","design","2026-07-17","active",""
"V9-DOC-0045","宋韵美学","design/song-aesthetics.md","0.4","other","general","design","2026-07-16","active",""
"V9-DOC-0046","V9 智能投研复盘系统 - API 文档","drafts/complete-api-doc.md","20","other","general","general","2026-07-16","active",""
"V9-DOC-0047","docs/drafts/ — 临时草稿区","drafts/README.md","0.3","other","general","general","2026-07-16","active",""
"V9-DOC-0048","Blueprints","explanation/design/blueprints/README.md","0.4","design","general","design","2026-07-16","active",""
"V9-DOC-0049","V9 技术实施文档索引","explanation/design/00-readme.md","13.6","design","general","design","2026-07-17","active",""
