"Path","Tier","Title","Summary","SummaryLen","TagCount"
"docs\README.md","reference","FinSightV9 文档中心","FinSightV9 documentation hub with full library navigation and category index","76","4"
"docs\00-meta\23-core-docs-final-verification-report.md","important","23-core-docs-final-verification-report","以下4个文档功能已确认等价，但存放目录与体系结构预期不符：","29","5"
"docs\00-meta\23个核心文档重新检索报告.md","important","23涓牳蹇冩枃妗ｉ噸鏂版绱㈡姤鍛?","瀵?23 涓牳蹇冩枃妗ｉ噸鏂版绱㈠畾浣嶇殑缁撴灉鎶ュ憡锛岀‘璁ゆ枃妗ｅ疄闄呰矾寰勪笌绱㈠紩涓€鑷存€с€?","55","4"
"docs\00-meta\doc-id-registry.md","reference","V9 doc_id Registry","Generated: 2026-07-17","21","5"
"docs\00-meta\doc-style-standard.md","important","V9 鏂囨。椋庢牸缁熶竴鏍囧噯锛坉oc-style-standard锛?","鍏ㄩ」鐩?Markdown 椋庢牸鍞竴姝ｆ簮銆傚彇浠ｅ悇妯″瀷/鍚勮稛 pass 鑷鍙戞尌鐨勫啓娉曘€?","55","4"
"docs\00-meta\GOVERNANCE.md","important","governance","## 涓€銆佹不鐞嗗師鍒? ### 1.1 鍗曚竴鐪熺浉婧愶紙Single Source of Truth锛? ### 1.2 鍙屽悜涓€鑷存€э紙Bidirectional...","90","4"
"docs\00-meta\prompt-execute-remediation.md","important","prompt-execute-remediation","你是一名资深 AI 工程治理执行官，负责在「V9 智能投研复盘系统」中落地文档治理与文件结构整改。你既会写代码，也会写文档，更会编排 Agent 集群分工；你的第一原则是不破坏现有质量门禁。","95","4"
"docs\00-meta\registry-index.md","important","文档索引","V9 全量文档索引，按类别聚合，由每日文档验证流程自动生成。","30","4"
"docs\00-meta\REGISTRY_INDEX.md","reference","鏂囨。绱㈠紩","Document category index registry with domain and type-based library navigation","78","4"
"docs\00-meta\tag-taxonomy.md","important","文档标签分类体系（受控词表）","与 Frontmatter domain 字段对齐，作为标签冗余以便跨字段检索：","40","4"
"docs\00-meta\文档体系体检报告-v9.md","important","鏂囨。浣撶郴浣撴鎶ュ憡-v9","缁忓叏閲?388 鏂囦欢 + 鏈骞惰鍒涘缓楠岃瘉锛屼綋绯绘墍闇€鏍稿績鏂囨。宸?100% 瑕嗙洊锛?","53","4"
"docs\00-meta\文档归类体系结构.md","important","文档归类体系结构","本次梳理对 V9 项目的文档资产做了全量检索与深度解读，核心结论如下：","35","4"
"docs\04-testing\performance-baseline.md","important","performance-baseline","V9 鎬ц兘娴嬭瘯鍩虹嚎鎶ュ憡锛坴1.1.0锛夛細P0/B1 浼樺寲鍚庣殑鏋勫缓涓庤繍琛屾椂鎬ц兘鎸囨爣鍩虹嚎銆?","57","4"
"docs\ai\README.md","reference","AI 相关文档入口","ai directory document index and navigation entry","48","4"
"docs\explanation\adr-007-screening-signal-persistence-review.md","important","ADR-007: 补齐筛选引擎、信号持久化与复盘引擎","V9 早期版本中，analysis 舱缺少三个关键引擎：","28","5"
"docs\explanation\ui-design-agent-execution-plan.md","important","ui-design-agent-execution-plan","鍓╀綑浠诲姟鎬昏锛?2 椤癸紙鍙苟琛?8 缁勶級","26","9"
"docs\explanation\design\dual-strategy-dataflow-spec.md","important","V9 双策略体系与数据流架构规格","系统数据流遵循 '从下到上采集、从上到下决策' 原则：","27","9"
